review_order,title,review_id,full_review,number_of_sentences,label_m_review
1,Ilva Marić,1,"Doktorica ljubazna, brižna, sve najbolje...preporučam je Oduševljena sam njenim odnosom prema meni",2,2
2,Ilva Marić,2,"Ordinacija je lijepa, uredna i pozitivno zrači, kada ste tamo jednostavno se ugodno osjećate Kroz ove godine stekla sam dojam da je doktorici zaista stalo do njenih pacijenata i svakim dolaskom se iznova uvjerim u to Temeljita, susretljiva, nikad ne pogriješi!",3,2
3,Ilva Marić,3,"Nježna, ljubazna, stručna, sjajna u postavljanju dijagnoze Nažalost nisam dugo bila upisana kod nje jer sam odselila, ali preporučujem ju svakome",2,2
4,Ilva Marić,4,Sve pohvale za doktoricu jako dobra sve objasni obavi jako dobro pregled da sam tražila ne bih našla bolju doktoricu Kad idem na pregled nema straha jer imam povjerenja u doktoricu,2,1
5,Ilva Marić,5,"Toliko ljubazan i profesionalan odnos prema pacijentima, sve lijepo objašnjeno i pokazano! Svaka pohvala gospodinu Mariću! Svakako ću Vas svima preporučiti!",3,1
6,Ilva Marić,6,"Doktorica je izvrsna liječnica Pristup joj je korektan i profesionalan Sestra uslužna i također, profesionalna Doživjeti danas da vam se toliko liječnik posveti zaista je rijetko, tako da sve pohvale za doktoricu Marić",4,2
7,Ilva Marić,7,"Divna doktorica, stručna i izuzetno ljubazna.Rijetko sam naišla na liječnika koji mi sve detaljno objasni i doživljava me kao osobu",1,2
8,Ilva Marić,8,"Susrela sam mnoge DR. ali doktorica Marić je prvo veliki čovjek, a zatim vrhunska stručnjakinja! DR. Marić preporučam od srca svakoj ženi Imala sam rizičnu trudnoću koju je vodila i poslije još neke ginekološke probleme koje je riješila Izuzetno je strpljiva, savjesna, susretljiva i otvorena za sva pitanja, vidi se da voli posao koji radi",4,2
9,Ilva Marić,9,"Preporuke svima za ovu divnu doktoricu,meni osobno najbolje iskustvo s liječnicima do sad,jednostavno najbolja je ?",1,2
10,Ilva Marić,10,"Doktorica je izrazito ugodna, ljubazna, pažljiva i stručna Cijelu trudnoću sam vodila kod nje i prezadovoljna sam Pohvale i za sestru koja je također uvijek ljubazna i nasmijana Pregled ugodan, sve objašnjeno, na sva pitanja dobila odgovor Jako sam sretna što sam ju pronašla te bih svakako doktoricu preporučila svakoj ženi koja dobro želi brinuti o svom zdravlju",5,2
11,Ilva Marić,11,"Doktorica je super ljubazna, pregled je nevjerojatno ugodan, brine se da ti je udobno, sve je dobro predvidjela (skoro pogodila dan poroda, pogodila kakav će porod biti)",1,2
12,Ilva Marić,12,"Doktorica je toliko draga, profesionalna i empatična Ja koja imam uvijek hrpu pitanja uvoiek izađem kompletno obavještena Prvo čovjek a onda liječnica I to zaista vrhunska!",4,1
13,Ilva Marić,13,"Mnogi ginekolozi i ginekologinje, koliko čujem iz iskustva prijateljica, bilo privatnici ili javni, tretiraju svoje pacijentice koje dolaze na prve ginekološke preglede i redovne kontrole vrlo žurno i mahinalno, ali moje iskustvo s DR. Ilvom Marić je bilo sasma drugačije i ugodno Unatoč tome što sam bila prvi put, nisam se osjećala stranom zbog profesionalne i ljubazne medicinske sestre i jednako tako ljubazne i pažljive ginekologinje Preporučujem DR. Ilvu Marić za prve ginekološke preglede upravo zbog njene obzirnosti prema mladoj pacijentici",3,2
14,Ilva Marić,14,"Doktorica je iznimno temeljita, jasna, pristupačna i ljubazna Pregledi kod nje su ugodni i bezbolni Svakako ju preporučujem",3,2
15,Ilva Marić,15,"Divna doktorica,temeljita,pažljiva,osjećam se sigurno i imam potpuno povjerenje.Sestre Ines i Galina besprijekorne u obavljanju svog posla.Ordinacija je predivno uređena i opremljena i što je najbitnije jako uredna.Sve pohvale i preporuke <3",1,2
16,Ilva Marić,16,"Susretljiva i ljubazna doktorica, opušteno i bez nelagode dolazim u ambulantu, pregled bezbolan, daje odgovore na moja pitanja Moja preporuka!",2,2
17,Ilva Marić,17,"Svojim pristupom mi je ulila povjerenje i zaista ju ne bih mijenjala, nadam se da neću morati Prošle smo zajedno moje dvije trudnoće i dalje sam njena redovna pacijentica Prekrasan osjećaj kad dođete i odete opušteno",3,1
18,Ilva Marić,18,"Super doktorica Temeljita, jasna, strpljiva i jako ugodna Definitivno cu iduci pregled opet obaviti kod nje",3,2
19,Ilva Marić,19,"Odlična doktorica,stručna,ljubazna i nadasve strpljiva!",1,2
20,Ilva Marić,20,"Jako ljubazna, pristupačna i brižna Sreća je da nemam nekih ginekoloških problema, ali činjenica je toliko angažirana oko mene i mojih pitanja o budućoj trudnoći, samo mi je povećava povjerenje kako ću, bez straha, imati dobru i stručnu doktoricu uz sebe!! Veliki plus i za sestru Hvala vam, doktorice!",4,2
21,Ilva Marić,21,"Sve pohvale! Odlična doktorica! Profesionalna,simpatična,stručna, A i sestra je uvik prijateljski raspoložena,ljubazna i komunikativna, Čitam nezadovoljstvo nekih pacijentica pa bih samo rekla drage moje ima i svakakvih pacijentica! Dodju neradpoložene ili misle da ih se treba posebno tretirati! Drage gospodje prvo potadite na sebi pa onda sudite o ponašanju sestre ili doktorice! Hvala DR.Marić i simpatičnoj sestri",7,2
22,Ilva Marić,22,"Citam da ste svi nezadovoljni DR. Marić i sestrom,al isto tako morate uzeti u obzir da su prekrcane pacijenticama...nema ih 10 nego poprilicno...meni je vodila trudnocu i ne da sam zadovoljna nego prezadovoljna...otisla je u privatnike al ja sam ostala kod nje....mislim da se po tome moze zakljuciti jel dobra il ne...a ako kome ne pase radije se prebacite kod nekog drugog nego da ostavljate ruzne komentare za obje",1,1
23,Ilva Marić,23,"Prvi put sam bila kod dokt.na pregledu i jako sam zadovoljna Nježna,temeljita,ne brza kod pregleda,što mi je bilo bitno s obzirom na trudnoću.Objasnila je sve u detalje",2,2
24,Ilva Marić,24,"Prvo bih počela sa sestrom koja je stvarno ljubazna prema meni bila Mlada sam, nisam majka, nisam trudna, jednostavno imam problema sa cistama na jajnicima tako da mi je prošla godina bila stalno kod doktorice Marić Imam samo pohvale, sestra ljubazno kaže da pričekate malo, što je inaće dosta dugo al Bože moj, doktorica je uvijek ljubazna, spremna pomoći, odgovori na pitanja, papa test i briseve nisam ni osjetila, tj kada me najviše boljelo nisam osjetila bol pri pregledu koliko se doktorica trudi Samo pohvale!",4,2
25,Ilva Marić,25,"Ponekad stvari krenu loše, u tom trenutku izrazito vam je važno da uz sebe imate izvrsnog liječnika, profesionalca ali i čovjeka prije svega U najtežim trenutcima mog života-izrazito kompliciranoj i neizvjesnoj trudnoći, DR. Marić je pokazala izrazitu stručnost, ali i ljudskost Uvijek je našla vremena za strpljivo odgovaranje na sva pitanja, bila spremna pomoći, nadilazila sve okvire uobičajenog odnosa pacijent-liječnik U svakom trenutku sam znala da se na nju mogu osloniti, da smo i beba i ja u najboljim mogućim rukama i nikada se nisam osijećala kao da sam samo još 1 pacijent Stoga ako i morate malo pričekati zaista se isplati, boljeg liječnika nećete naći",5,1
26,Ilva Marić,26,"Bravo za našu doktoricu! Puno mi je pomogla, izuzetno je cijenim",2,2
27,Ilva Marić,27,Doktorica i sestra daju sve od sebe u uvjetima u kojima rade Imala sam velike probleme koje je doktorica strucno prepoznala i spasila me.Samo rijeci hvale za njih,2,1
28,Ilva Marić,28,"Doktorica je izvrsna, ljubazna i profesionalna Brzo postavi dijagnozu i s lakoćom objasni sve nejasnoće Ali, njena sestra je grozna Ne javlja se na telefon cijeli dan, a dok čekam na pregled redovito zna izaći ispred vrata i ćakulati s pacijenticama koje poznaje Također, bezobrazno je od sestre da ne naručuje na pregled drugog u mjesecu ako je prvi bio neradan i još se ponaša kao da to nije njen problem",5,0
29,Ilva Marić,29,"Izuzetno ljubazne I doktorica I sestra (posebno doktorica) Izlaze u susret maksimalno te ukoliko je hitno ili bar mislite da je hitno, doktorica ce Vas primiti na pregled....Bila bi idealna mogucnost ugovaranja termina e-mailom",2,1
30,Ilva Marić,30,"DR. Marić mi je vodila obje trudnoće i uvijek je bila jako ljubazna prema meni Što se tiče sestre, njezin rad je maksimalno kvalitetan s obzirom na uvjete i prevelik broj pacijenata Od mene imaju samo riječi pohvale",3,2
31,Ilva Marić,31,"Imam samo pozitivna iskustva Kako s doktoricom, tako i sa sestrom Moram priznati, malo me plase i cude svi ovi neg komentari Svaki put minimalno cekam i sestra je ljubazna prema meni",4,1
32,Ilva Marić,32,"Kod doktorice sam upisana već četiri godine tijekom kojih stalno plaćam privatne preglede jer je do nje nemoguće doći, čak i tog famoznog ""prvog u mjesecu"" Ako osoba koja je završila medicinu i položila zakletvu dopušta da se njeno tako ponaša prema nečijem zdravlju - pametnome dosta",2,1
33,Ilva Marić,33,Molim medicinsku sestru koja radi u ordinaciji dr Marić da počne odgovorno i savjesno obavljati svoj posao Tjedan dana svakodnevno zovem po 20 puta bezuspješno Uvijek daje znak da je zauzeto što bi značilo da je slušalica podignuta Ukoliko ne daje znak zauzeto - nitko se ne javlja,4,1
34,Ilva Marić,34,"Trudnocu vodim privatno, i za sve potrebno mi zapravo treba samo sestra ciji je odnos sa pacijentima grozan! Javljanje na telefon kod njih nepostoji, svaki put kad ju trebam danima bezuspjesno zovem i kad nakraju odustanem od zvanja i odem u ordinaciju, pa me docekaju bezobrazni komentari i velika doza bahatosti od strane sestre Razumijem da imaju i previse posla ali takav odnos i to nejavljanje na telefon samo dodatno otezavaju posao i njima i pacijentima",3,0
