text,label
IMDB Ocjena Filma : 6.1 / 10,1
Datum izlaska : 11 .,1
On se prihvatio ove priče vjerovatno zato što najviše liči na sve ono što je radio ; najviše podsjeća na njegov stil i nikog drugog ne možemo vidjeti u ulozi reditelja za ovakav film .,1
"koja je doznala o pogođenom Georgeu , odmah je obavijestila Davisa o mogućnosti infekcije i ponudila je pomoć Davisu .",1
Skupina mapetovaca kreće na svijetsku turneju no ubrzo upadaju u organiziranu pljačku slika i vrijednog nakita koju je organzivao žabac sličan Kermitu i njegov zločesti partner .,1
"Radnja filma se odvija na malom selu , u nekoj nedođiji , gdje se upoznajemo sa glavnom junjakinjom Ann i njenom psom koji ubrzo otkrivaju da nisu sami .",1
"Kada uspostavi kontakt sa ljudima na zemlji , čitav svijet staje na noge kako bi ga spasio .",2
Elliott provodi u prvoj polovini ove sezone preispitivanja sve sto je učinio prošle sezone i svoj odnos s liderom fsociety MR.Robot ( Christian Slater ) .,1
"Tragedija zahvaća Aleca , ali , kako se navodi u priopćenju , “ Abby će otkriti da močvara ima mistične tajne , užasavajuće i čudesne – i potencijalna ljubav njezina života možda neće biti ( nestala ) naposljetku . ”",1
"Mislim da je bio intenzivan , prilično dobar i da se možemo zabaviti zanemarivanjem nekih očitih nedostataka spomenutih gore .",2
Bilo je to dobro finale za koje nisam požalio što sam potrošio vrijeme gledajući svih 13 epizoda .,2
Je li bilo dobro ?,1
"Priča o Romulusu i njegovom bratu blizancu Remu , bogata mitovima , omogućava slobodu u razvoju priče , a ne samo da bude ograničena na vjernost činjenicama .",2
"A kada se , i to prilično eksplicitno , pokaže kako su svi oni bili izloženi godinama i desetljećima manipulacije , nasilja i zlostavljanja , a gledatelji istovremeno budu izmanipulirani da u njima vide ili ljudska bića ili novu razinu evolucije , neumitni ustanak se čini opravdanim .",0
Film je na budžet od 26 miliona dolara zaradio tek 12 u Americi .,0
I može li T ’ Challa biti kralj koji je trebao Wakandu ?,1
Godina 2016,1
"Glavne uloge : Reese Witherspoon , Nicole Kidman , Shailene Woodley",1
"– Ovdje su svi likovi zabrinuti , slojeviti , a samo općenito zanimljivi .",2
Redatelj : Jake Szymanski,1
Znamo nekoliko stvari o Titanu .,1
"Redatelj serije Daniel Sackheim rekao je da se želi vratiti Fordovom “ svatko ” pozivu – nekome tko je relatabilan i ranjiv , ali još uvijek heroj .",2
Titlovan Trailer :,1
Trajanje filma : 02 : 17 : 00,1
"K vragu , rekao bih da je sjajno .",2
Serija,1
"Glavne uloge : Jared Leto , Gal Gadot , Henry Cavill , Amber Heard , Ben Affleck , Jason Momoa , Amy Adams , Jesse Eisenberg , Ezra Miller , Jeremy Irons , Willem Dafoe , Kiersey Clemons , J.K .",1
"To ih razdvaja i muza ( kojeg glumi James Nesbitt ) je preuzela opsesija da sazna istinu – a istina je da , i kad je otkrio , nije ga u potpunosti zadovoljila .",1
Ovaj film je pun dlaka .,0
"Nakon više od sedam dana i odluke da prodam blog , odlučio sam se u međuvremenu pogledati jedan novi film čisto kako bih osvježio blog ali i dao vam znanja kakav je ‘ Čudesni Spider-Man 2 ’ .",1
"Glavne uloge : Ethan Hawke , Sarah Snook , Noah Taylor",1
Ocjena Filma : 4 / 5,1
Hrvatska 03.01.2019 .,1
I uskoro je unajmljen kako bi riješio ubojstvo vrlo bogatog poduzetnika ( James Purefoy ) .,1
"Glavne uloge : Charlie Cox , Krysten Ritter , Mike Colter",1
Film je baziran na seriji manga pod nazivom Gunnm aka Battle Angel Alita .,1
"Tennesse , Ricks ( Jussie Smollett – Empire TV series ) i Upworth ( Callie Hernandez – Blair Witch , La La Land etc ) ostali su čuvati leđa , dok su Oram , Daniels , Walter , Lope , Faris i ostatak posade spustili na planet .",1
"Nakon sto je završio zadatak , vladar vladara Ayesha ( Elizabeth Debicki – The Great Gatsby , Everest etc ) je bio vrlo sretan i objavio je Nebula ( Karen Gillan – The Big Short , Doctor Who TV series etc ) dolazi u njegove ruke .",1
"Max Lawson ( Jim Sturgess – 21 , Cloud Atlas etc ) koji je bio Jakeov brat i koji je sada bio zapovjednik , dobio je dužnost predsjednika Palma ( Andy Garcia – The Godfather Part III , Ocean ’ s Eleven trilogy etc ) da otkrije problem .",1
"Umjesto toga , dobivamo periode romantike između muškaraca za koje znamo da se ne druže ili da izbijaju borbe za koje znamo da će se riješiti 10 godina kasnije – ili u nekim prilikama u sljedećoj epizodi .",1
Kolovoz 2014 .,1
"Žanr : SF , Drama",1
Film općenito djeluje kao parabola o iskustvu da postane majka u svijetu koji iz dana u dan postaje sve opasniji .,1
Godina 2015,1
Priča se usredotočila na časnika Zvjezdane flote Michaela Burnhama ( Sonequa Martin-Green – TV serije Walking Dead itd . ),1
"Kada je riječ o najboljim emisijama 2018 , Maniac mora biti u raspravi .",1
Trajanje filma : 02 : 05 : 00,1
U trenutku nepažnje Paul izazove nesreću i kao što znamo dovoljan je i jedan trenutak da čovjek ostane bez glave .,0
"Žanr : Akcija , Avantura",1
"Datum izdavanja još nije potvrđen , ali nadamo se da ćemo uskoro saznati više .",1
Srpanj 2015 .,1
Scene su moćne i kao što rekoh gotovo nezemaljske .,2
"Labirint Lijek smrti je počeo nekoliko mjeseci nakon događaja Maze Runner : The Scorch Trials , gdje su Gladers predvodili Thomas ( Dylan O ’ Brien – American Assassin , Teen Wolf TV series i sl . )",1
"Postojala je “ Madam ” jedinog bar / bordela u gradu po imenu Maeve ( Thandie Newton – Crash , 2012 itd . )",1
Ozark ( 2017 ),1
"Radnja smještena u 1886 . godinu , fokusirala se na mladog Sigmunda Freuda ( Robert Finster ) koji je imao vlastitu ideju o liječenju pacijenata s mentalnim poremećajima , što ga je nažalost učinilo predmetom ismijavanja u medicinskom društvu .",0
"Taman kad se slegla prašina oko te stvari za kojem su ludili tinejdžeri a i oni nešto stariji , došao je ‘ The Hunger Games ’ , itekako kvalitetniji ali sa sobom je povukao lavinu sličnih filmova koji su u cilju imali ispričati isti priču i zaraditi tonu novca .",1
"Većina njih ima supersile , osim jedne – izolirana Vanya ( Ellen Page ) koja se drži na udaljenosti zbog toga što je obična djevojka .",1
To može samo rezultirati razočaranošću gledaoca i jednoj simboličnoj malo ocjeni .,0
Sve ovo saznajte u akcijskom pustolovnom filmu .,1
"Ocjena na IMDb.com mu je soldinih 6,5 / 10 a na Tomatoesima zavidnih 82% .",2
"Glavne uloge : Jessica Chastain , Chris Hemsworth , Emily Blunt",1
Serija će se prikazivati u pet epizoda jer je to pristup koji se pokazao uspješnim .,2
"Uz malo više razmišljanja i empatije uloženih u likove , Netflix bi mogao biti na još jednom tinejdžerskom hitu .",1
Trajanje filma : 02 : 53 : 00,1
Replike je vrlo suvremeni film za publiku .,2
"Glavne Uloge Glumci : John David Washington , Robert Pattinson , Elizabeth Debicki , Aaron Taylor-Johnson , Clemence Poesy , Michael Caine , Kenneth Branagh , Dimple Kapadia , Himesh Patel , Denzil Smith , Martin Donovan",1
"Ono što mi se svidjelo u seriji je bila radnja koja je bila prilično zabavna za vidjeti , posebno kad god je bila u pitanju Katia Winter koja je osigurala nekoliko zgodnih scena borbe .",2
"Nakon sto sam vidio trailer prije sedmicu dana , primijetio sam da je film prikazan kao da je snimljen u IMAX 3D .",1
Glazba je nenametljiva te služi kao dodatna potpora zvucima prirode .,2
Odlučio sam da bi bilo lako završiti prvu sezonu i vidjeti sto je to bilo .,1
"Žanr : Akcija , Drama , Triler",1
"Rezija Adam Randall , Iboy je Netflixov original film koji se jasno oslanja na niz drugih utjecaja , uključujući i Luc Bessons Lucy je Ubisoft Watch Dogs iz video igara serije , i nenormalan trend superheroja u cjelini .",1
Postojalo je i klasično završavanje filma Alien koji bi bio pozadina budućeg nastavka .,1
"Kreator : Iginio Straffi , Brian Young",1
"Žanr : Animirani , Avantura , Komedij",1
"Razvoj pripovijesti je ugodan , ističući nastojanje da ne napuštaju labave krajeve .",2
Ali to je zapravo bio put prema pronalaženju loše osobe koja je bila glavna atrakcija .,1
A ni Delosova sigurnosna ekipa koja u oružanom okršaju s “ domaćinima ” iskazuje streljačke “ vještine ” Imperijalnih jurišnika iz Ratova zvijezda nije nešto čime bi se Westworld može dičiti .,0
"Međutim ukoliko to nije slučaj i ako Jackman nastavi s ovakvim uradcima , brzo će potrošiti sav kredit koji trenutno ima kod publike i kritike .",0
"Gdje bi se prikazali različiti slučajevi u svakoj epizodi da bi se istražili kako bi pronašli krivca i obično s većim lukom priče koja prolazi kroz cijelu seriju ili nekoliko epizoda ( Monk , Castle , CSI , zločinačke umove , smrtonosno oružje da spomenemo nekoliko ) .",1
K nije imao prijatelja i samo je bio popraćen hologramom Al koji se zvao Joi ( Ana de Armas – Overdrive ) za koga se činilo da se zaljubio .,1
"Imala je snage munje , i to je sve što ću reći da bi priču i druge njene osobine ličnosti bolje iskusili .",1
"Svi ovi ljudi , uključujući Elijahovu majku , gospođu Price ( Charlayne Woodard ) kasnije će se uplesti u nešto izvanredno .",1
U posljednje vrijeme primjećujem da bi muzika bila izvrstan dodatak filmu .,2
"Akcioni niz nije bio suviše čest i bio je film za tinejdžere , nije bilo nasilnih scena .",1
"U najopštijim crtama , film The Human Race prati grupu od 80 ljudi , koji su se na misteriozan način obreli na podjednako misterioznom mestu .",1
"Međutim , lično sam osjetio da je postalo malo komplicirano i nije bilo dovoljno jednostavno za razumijevanje .",0
"Ovaj film treba da dobije kultni status , a dok ne dobije , za mene će biti “ Misery ” za nove generancije koji dovodi nova bića u naizgled poznatu priču .",2
"Također je dobar izgled , s često hladnom plavom bojom koja daje seriji hladan i jeziv osjećaj .",1
RedateljJames DeMonaco,1
Redatelj : Jeff Nichols,1
"Film se još prikazuje u kinima , ali za sada ima jako slabu zaradu , tek nešto više od 83 miliona dolara na budžetčinu od 100 miliona .",0
Ovaj film ima kombinaciju drame i neizvjesnosti i malo otajstva na vanzemaljsku namjeru .,2
Trailer :,1
Ocjena : 2 / 10,0
Većina samih epizoda predstavlja različita tradicionalna jela popraćena mnoštvom snimaka izbliza i usporenih snimaka .,1
Trajanje filma : 01 : 58 : 00,1
"Žanr : Akcija , Avantura , Drama | Recenzije Serija",1
"Volio sam priču koja je postavljena u osamdesetim godinama popunjena referentnim kulturama koje sam jako volio do sada , a film je uspio uhvatiti sve njih vrlo lijepo .",2
To je moglo napraviti sjajno franšizu sedam filmova ako se ovaj film temelji samo na prvoj knjizi .,1
Stvari nisu uvijek bile dobre za njih dvoje kada su Decepticons stigli na zemlju i progonili B - 127 .,0
"Kad je Niles jednog dana napustio kuću , Jane i ostatak ekipe otišli su u grad gdje su nenamjerno uništili svoje karakteristike .",0
Romulus ( Sezona 1 ) 2020 ( TV SERIES ) Recenzija Serije,1
Producent : Andrew Niccol,1
"Ali oni ne mogu ponijeti svog psa , on mora u uzgajvacnicu .",1
"Lično mislim da nije toliko loš , da je gledljiv i ima dobrih sekvenci , ali bit će vam još veći doživljaj ako ste jedanaestogodišnje dijete i uživate u svemirskim avanturama i zanimaju vas svemir i galaksije .",2
Na Rotten Tomatoes ima 65% pozitivnu ocjenu .,1
Trajanje filma : 01 : 48 : 00,1
I otkrio sam da je ova krivnja bila prilično velika .,1
IMDB Ocjena Filma :,1
Žanr : The Green Inferno ( 2015 ),1
Umjesto da ipak prepiše ono što je prije došlo .,2
Više od polovice zemlje je nenastanjivo .,0
Kreatori : Joe Pokaski,1
Datum izlaska : 11 .,1
"Pustošenja je , naravno , dosta , Godzilla protiv Konga je uzeo vremena da se usredotoči uglavnom na stvorenja tijekom njihove borbe .",1
Kako ne bi bila samo borba dva glavna aktera tu se pojavljuju i dva upečatljiva ženska lika koja u seriji možda i imaju sporednu ulogu al u životima naša dva glavna aktera i ne .,1
"Ipak , preporučujem vam da pokušate i pogledate je , jer sam prilično siguran da će vam pružiti nešto drugačije i zabavno .",2
Trailer Serije :,1
"Žanr : Akcija , Avantura , SF",1
"Ne , ništa od toga , nego nova obrada ‘ Fantastične četvorke ’ , koja je u najavama izgledala fenomenalno , mnogo bolje od onoga što je u 2005 . i 2007 . s Jessicom Albom i ekipom djelovalo kao komedija sa superherojima , no u realnosti ‘ Fantastic Four ’ je čista – dosada .",0
Fokus filma bio je sama istraga koja je dovela do nekoliko pukotina i čeljusti koja je ostavila potpuno iznenađujući trenutak koji biste razumjeli ako gledate ovo bez ometanja .,1
Milijarde ( Billions ) seriju gledajte kao upustvo za snalaženje po Wall Streetu .,1
"Tumor , Love is Not Blind i sl . )",1
"Oh , ne zaboravimo Olivera Masuccija koji je ovdje zaista bio šarmantan i glumio je potpuno drugačiji lik od svoje uloge u Darku .",2
"Žanr : Akcija , Avantura , Triler",1
"Sve potrebne stvari kažem nakon kratkog sinopsisa u početku a u zaključku mi ostaje da u rečenici , dvije , nešto poručim .",1
"Kad sam pročitao kratki sinopsis ove serije , odmah me je zanimao i nisam oklijevao da je pogledam .",1
Na Rotten Tomatoes ima 65% pozitivnu ocjenu .,1
"I baš kao što sam mislio , Bumblebee je i film koji je osvojio srce kritičara .",2
Kolovoz 201,1
Kreator : Chuck MacLean,1
Jurski svijet ( 2015 ),1
Borilačke vještine koje je koristio Danny / Iron Fist tijekom borbi stvarno su imali auru Kung Fu stila .,1
Tijekom godina Netflix neprestano povećava svoj izbor vrhunskih sapunica .,2
Tu je i nekoliko skokova u prošlost do nekoliko dana ili tjedana prije scene na početku epizode .,1
"Budući da je priča koja se vrti u životu tinejdžera , bila bi nepotpuna bez glavnog “ zločinca ” u obliku bogate djevojke i voljela se nasmijati oko imena Cheryl Blossom ( Madelaine Petsch ) .",1
"Moj konačni rezultat za “ Godless ” je 9,85 / 10 .",1
Zato razgovarajmo o jednom takvom showu danas .,1
